Sample_ID,AE Fraction,SE Fraction,Fe 56,P 31,Co 59,Zn 66,Ni 60,Cu 63,Al 27,Ti 48,V 51,Cr 52,Mn 55,Fe 57,As 75,Mo 95
190121_3_7,100,7,-0.5422,-8.0087,0.0284,-0.3195,0.776,0.2033,-0.3745,-1.2805,-0.4793,0.1956,0.0188,0.0095,-0.0088,0.0366
190121_3_8,100,8,-0.5654,-8.0153,0.024,-0.3183,0.6953,0.1832,-0.3843,-1.2351,-0.4882,0.1373,0.0194,0.0066,-0.0097,0.034
190121_3_9,100,9,-0.4287,-7.8022,0.0161,-0.2667,0.4112,0.1436,-0.3671,-1.0419,-0.5502,-0.0348,0.0172,0.0088,-0.0091,0.0241
190121_3_10,100,10,-0.3886,-7.8455,0.0214,-0.2973,0.656,0.1641,-0.3352,-1.1052,-0.4915,0.135,0.0198,0.0081,-0.0103,0.0353
190121_3_11,100,11,-0.4744,-7.7689,0.0193,-0.2775,0.6111,0.1473,-0.3352,-1.118,-0.504,0.0874,0.0227,0.0062,-0.0102,0.0324
190121_3_12,100,12,0.1942,-7.2194,0.0278,-0.2469,0.9791,0.1855,-0.2101,-0.8773,-0.4094,0.387,0.0453,0.0155,-0.0095,0.0449
190121_3_13,100,13,-0.205,-7.7872,0.0256,-0.2727,0.9478,0.1765,-0.2813,-1.0637,-0.4085,0.3304,0.0345,0.0092,-0.0098,0.0432
190121_3_14,100,14,-0.4639,-7.8988,0.0225,-0.2943,0.7821,0.1614,-0.3156,-0.9846,-0.4081,0.2737,0.0296,0.0045,-0.0098,0.0342
190121_3_15,100,15,-0.5131,-7.8555,0.0221,-0.2937,0.815,0.1425,-0.3401,-0.9684,-0.4125,0.2777,0.0264,0.0035,-0.0102,0.0295
190121_3_16,100,16,-0.5766,-7.7389,0.0199,-0.2835,0.7431,0.1275,-0.3524,-0.9649,-0.4189,0.2614,0.0264,0.0024,-0.01,0.0244
190121_3_17,100,17,-0.5922,-7.8222,0.0191,-0.2973,0.6942,0.1181,-0.3867,-0.8576,-0.4092,0.2297,0.0256,0.0021,-0.0101,0.0237
190121_3_18,100,18,-0.5126,-7.967,0.0189,-0.2493,0.7052,0.1195,-0.3843,-0.7777,-0.4403,0.2122,0.0274,0.0036,-0.0103,0.0221
190121_3_19,100,19,-0.294,-7.8072,0.0177,-0.0581,0.6761,0.217,-0.4014,-1.2933,-0.4298,0.2304,0.0255,0.0067,-0.0104,0.0204
190121_3_20,100,20,0.8414,-7.9554,0.0173,1.1502,0.683,14.2424,-0.3769,-1.2984,-0.4307,0.1776,0.0243,0.0248,-0.0108,0.029
190121_3_21,100,21,1.2624,-6.8182,0.024,4.0608,0.6584,18.7133,-0.3916,-1.2112,-0.4134,0.2141,0.0247,0.0296,-0.0101,0.0356
190121_3_22,100,22,0.389,-1.6001,0.0371,1.4451,1.0453,6.8827,-0.0065,-1.195,-0.414,0.2495,0.0329,0.0173,-0.0107,0.056
190121_3_23,100,23,-0.1321,-1.7566,0.0557,0.3464,3.8297,4.9005,-0.3009,-0.9726,-0.406,0.3358,0.0321,0.008,-0.0084,0.0471
190121_3_24,100,24,-0.247,-3.8561,0.0537,0.036,4.3639,2.4606,-0.3597,-0.7208,-0.3873,0.3589,0.035,0.0063,-0.0088,0.0328
190121_3_25,100,25,-0.3993,-5.6061,0.0299,-0.1307,2.0535,1.4262,-0.3328,-0.9991,-0.3691,0.2726,0.0279,0.0043,-0.0094,0.0235
190121_3_26,100,26,-0.3503,-6.2171,0.0237,-0.0995,1.2984,0.9878,-0.3058,-1.0282,-0.3642,0.2905,0.0324,0.0039,-0.01,0.0233
190121_3_27,100,27,-0.3672,-6.4219,0.0212,-0.1079,0.8946,0.6984,-0.2567,-0.6721,-0.3459,0.2715,0.0353,0.003,-0.0079,0.0213
190121_3_28,100,28,-0.392,-6.2704,0.0184,-0.187,0.699,0.5084,-0.3058,-0.8491,-0.3277,0.2651,0.0339,0.0034,-0.006,0.0175
190121_3_29,100,29,-0.4017,-6.1955,0.0174,-0.1828,0.6125,0.3623,-0.2911,-0.5447,-0.3266,0.2672,0.0367,0.002,-0.0087,0.0168
190121_3_30,100,30,-0.2926,-6.1339,0.0148,-0.0599,0.5566,0.265,-0.2224,-0.3074,-0.3141,0.2777,0.0409,0.0042,-0.0094,0.0184
190121_3_31,100,31,-0.3965,-6.0872,0.0162,-0.2541,0.5171,0.219,-0.2175,-1.2232,-0.2923,0.2495,0.0336,0.0014,-0.0095,0.0156
190121_3_32,100,32,-0.1296,-6.1572,0.0145,-0.2338,0.5131,0.1569,-0.1954,-1.1706,-0.2961,0.2903,0.0336,0.0054,-0.0101,0.0172
190121_3_33,100,33,-0.347,-5.8042,0.0131,-0.2457,0.4682,0.1437,-0.1562,-1.1462,-0.2832,0.2688,0.0325,0.0015,-0.0097,0.0178
190121_3_34,100,34,-0.3702,-5.969,0.0129,-0.2823,0.4885,0.1194,-0.166,-1.1278,-0.2748,0.2627,0.0365,0.001,-0.0099,0.0146
190121_3_35,100,35,-0.0514,-5.6227,0.0139,-0.2547,0.4674,0.1047,-0.1905,-0.9547,-0.2414,0.2956,0.0394,0.0053,-0.0099,0.0178
190121_3_36,100,36,-0.2842,-5.8009,0.0137,-0.2368,0.4599,0.0906,-0.2175,-0.6759,-0.2856,0.2885,0.0405,0.0024,-0.0094,0.017
190121_3_37,100,37,-0.2888,-5.4362,0.0125,-0.2565,0.4524,0.0817,-0.1292,-0.8961,-0.2402,0.2725,0.0406,0.0017,-0.0103,0.0175
190121_3_38,100,38,-0.26,-5.0599,0.0122,-0.2469,0.4299,0.0725,-0.1267,-0.8448,-0.2031,0.2882,0.0393,0.0017,-0.0103,0.016
190121_4_7,200,7,-0.3048,-5.5378,0.0085,-0.1504,0.3746,0.0703,-0.1292,-0.2617,-0.206,0.2343,0.0424,0.0013,-0.0105,0.0159
190121_4_8,200,8,1.3226,-5.1332,0.0193,1.7951,1.148,0.2932,1.0187,-0.4369,-0.2116,0.2968,0.1246,0.0264,-0.0104,0.0171
190121_4_9,200,9,-0.0374,-4.8901,0.0087,-0.181,0.3346,0.0682,-0.1022,-0.301,-0.2029,0.3013,0.0437,0.0043,-0.0105,0.0147
190121_4_10,200,10,-0.2069,-4.642,0.0092,-0.0803,0.3327,0.0756,-0.0826,0.3583,-0.202,0.2267,0.0503,0.0012,-0.0107,0.0147
190121_4_11,200,11,-0.0733,-4.8668,0.0097,0.0156,0.3752,0.0792,-0.0065,-1.0611,-0.1731,0.2513,0.0422,0.003,-0.0103,0.0161
190121_4_12,200,12,0.8168,0.5112,0.0132,-0.0971,0.6742,0.0987,0.197,-1.012,-0.1114,0.2991,0.0859,0.0165,-0.0104,0.0151
190121_4_13,200,13,0.2958,-1.7333,0.0107,-0.1672,0.5435,0.0838,0.0523,-0.9991,-0.139,0.2935,0.0636,0.0077,-0.0102,0.0148
190121_4_14,200,14,0.0279,-3.4865,0.0082,-0.223,0.3813,0.076,0.0719,-0.9393,-0.1475,0.2511,0.0499,0.004,-0.0098,0.0148
190121_4_15,200,15,0.0606,-3.5864,0.009,-0.1888,0.3752,0.0766,0.0229,-0.9166,-0.1226,0.2647,0.0449,0.0038,-0.0095,0.0145
190121_4_16,200,16,0.6796,-3.8994,0.0084,0.1343,0.377,0.0706,-0.0016,-0.1013,-0.1147,0.2558,0.0507,0.0137,-0.0098,0.0268
190121_4_17,200,17,1.7951,-3.5165,0.0086,0.2481,0.3917,0.9644,0.0474,-0.5601,-0.1072,0.2742,0.0467,0.0304,-0.0094,0.1119
190121_4_18,200,18,1.4867,-2.4958,0.0102,1.1202,0.4169,1.5054,0.0597,-0.8534,-0.0489,0.2115,0.0448,0.0266,-0.0096,0.2146
190121_4_19,200,19,2.8361,-2.1495,0.0201,1.4793,0.4575,1.4419,0.1284,0.1278,-0.0518,0.2036,0.0702,0.0465,-0.009,0.1532
190121_4_20,200,20,4.1157,-0.7143,0.0192,1.3666,1.3577,2.5174,0.0646,0.3536,-0.0811,0.2496,0.0608,0.066,-0.0096,0.0911
190121_4_21,200,21,3.0736,0.0932,0.1102,0.6989,2.0992,1.435,0.1406,0.3245,-0.0703,0.2647,0.0558,0.0495,-0.0094,0.0562
190121_4_22,200,22,2.2883,132.9887,0.5295,0.5436,17.8139,1.2851,0.4718,1.41,-0.0718,0.3385,0.0671,0.0378,-0.0085,0.1204
190121_4_23,200,23,2.3614,239.9401,1.1208,2.5821,115.6765,1.313,0.7636,2.2022,-0.0462,0.4245,0.0812,0.0409,-0.0052,0.1346
190121_4_24,200,24,1.7442,111.3037,1.6252,0.6647,125.2334,0.9399,0.3491,0.9645,-0.0277,0.3839,0.0758,0.0298,-0.0041,0.0979
190121_4_25,200,25,1.3468,52.4442,0.7636,1.6495,73.6993,0.5708,0.1995,1.6785,-0.0391,0.309,0.2061,0.0238,-0.0042,0.0703
190121_4_26,200,26,0.9373,28.5714,0.3107,0.992,33.3266,0.3497,0.2485,1.3463,-0.0209,0.2809,0.1159,0.0188,-0.0053,0.0567
190121_4_27,200,27,0.9782,16.3903,0.171,1.007,17.9291,0.2431,0.3467,4.23,-0.0417,0.282,0.1025,0.0181,-0.0056,0.0419
190121_4_28,200,28,0.5296,10.2864,0.1064,0.371,11.0707,0.1896,0.1455,1.717,-0.0665,0.2474,0.0714,0.011,-0.0021,0.0352
190121_4_29,200,29,0.5287,8.4299,0.0785,0.766,7.6378,0.1536,0.2485,4.3625,0.0181,0.2238,0.0914,0.0132,-0.0044,0.0294
190121_4_30,200,30,0.4101,5.5544,0.0602,0.3794,5.5987,0.1288,0.1995,1.7268,-0.0235,0.2298,0.0726,0.0078,-0.006,0.027
190121_4_31,200,31,0.3886,4.6004,0.0474,0.8457,4.0307,0.1101,0.1235,3.8132,0.0185,0.2137,0.0942,0.0089,-0.0076,0.021
190121_4_32,200,32,0.4496,2.4925,0.0398,1.5236,3.1644,0.1055,0.1774,4.8341,-0.0133,0.2095,0.1048,0.0107,-0.0076,0.0211
190121_4_33,200,33,0.16,1.8914,0.0313,0.0803,2.3902,0.0909,0.0253,-0.876,0.0101,0.2081,0.0505,0.0038,-0.0081,0.0195
190121_4_34,200,34,0.1215,1.0989,0.0271,0.0456,1.8334,0.0846,0.0057,-0.8735,-0.0104,0.1574,0.0505,0.003,-0.0079,0.0185
190121_4_35,200,35,0.5408,0.6577,0.028,4.6679,1.6979,0.0835,0.4104,1.7225,-0.0119,0.2825,0.0947,0.0103,-0.0083,0.0164
190121_4_36,200,36,0.6373,0.4645,0.0219,1.6027,1.335,0.0685,0.0965,0.8666,-0.0091,0.2904,0.068,0.0118,-0.0089,0.015
190121_4_37,200,37,0.0372,0.5378,0.0184,0.0677,0.9823,0.054,0.094,0.6315,0.0219,0.1276,0.0561,0.0027,-0.0084,0.014
190121_4_38,200,38,0.1773,-0.0866,0.019,0.3416,0.9425,0.0476,0.2485,1.7465,-0.0275,0.1688,0.0623,0.0057,-0.0088,0.016
190121_5_7,300,7,0.4203,-1.2787,0.0057,0.3327,0.295,0.0269,0.3467,2.5973,0.0096,0.3192,0.0732,0.0087,-0.0096,0.0147
190121_5_8,300,8,0.431,-1.8432,0.0039,0.1954,0.2199,0.024,0.1455,1.8777,-0.0335,0.2306,0.0666,0.0093,-0.0093,0.0132
190121_5_9,300,9,0.6291,-2.0829,0.0043,0.3656,0.1868,0.0255,0.2436,2.4891,-0.0642,0.2046,0.0711,0.0122,-0.0094,0.0107
190121_5_10,300,10,0.7811,-2.5907,0.0035,0.1816,0.1852,0.034,0.1774,0.8982,-0.0858,0.1929,0.057,0.0145,-0.0094,0.014
190121_5_11,300,11,0.4687,-1.2821,0.0034,0.4208,0.1708,0.0405,0.1725,1.7063,-0.0515,0.1586,0.0706,0.011,-0.0094,0.0117
190121_5_12,300,12,2.6436,30.5395,0.015,1.9504,0.6344,0.1267,0.6753,2.8046,-0.0111,0.2693,0.21,0.0429,-0.0096,0.0153
190121_5_13,300,13,2.153,30.1215,0.0133,1.4217,0.5085,0.1062,0.9304,-1.1189,-0.0179,0.2512,0.1527,0.0338,-0.0098,0.0137
190121_5_14,300,14,3.8047,7.8205,0.0145,1.6938,0.4299,0.0725,0.1676,-0.8811,-0.0257,0.198,0.0971,0.0599,-0.0096,0.0121
190121_5_15,300,15,17.5751,3.4033,0.0184,3.9667,0.4703,0.3003,0.3687,0.5353,-0.0039,0.3684,0.1078,0.2688,-0.0089,0.0148
190121_5_16,300,16,17.9484,0.6327,0.0323,4.7968,0.4553,0.7308,-0.0164,0.0038,-0.0053,0.1058,0.083,0.2822,-0.0087,0.0236
190121_5_17,300,17,25.7306,-1.1588,0.0799,5.7708,0.233,0.5485,-0.0164,0.4493,-0.1869,-0.0665,0.077,0.4029,-0.0081,0.0326
190121_5_18,300,18,14.7684,-0.5095,0.0737,8.4338,0.5438,1.668,0.0253,0.4583,-0.0438,0.0518,0.0845,0.2301,-0.0063,0.0266
190121_5_19,300,19,7.7837,0.353,0.0468,6.7712,0.4708,1.3823,0.1848,0.8615,-0.0565,0.1379,0.0756,0.1233,-0.0084,0.0195
190121_5_20,300,20,4.4592,2.381,0.0297,3.465,0.2776,0.8988,0.0621,0.6481,-0.0678,0.0404,0.0565,0.0707,-0.0089,0.016
190121_5_21,300,21,3.1066,11.5102,0.0796,2.2045,0.361,0.8451,0.1382,1.2035,-0.0015,0.071,0.0593,0.0513,-0.0088,0.0172
190121_5_22,300,22,2.369,22.7556,0.1879,1.4691,0.6015,0.5648,0.121,0.5216,-0.016,0.0874,0.0553,0.0387,-0.0091,0.0352
190121_5_23,300,23,1.9471,22.5574,0.1454,1.2551,0.7006,0.4295,0.2019,0.5126,-0.0384,0.0849,0.0585,0.0312,-0.0076,0.0647
190121_5_24,300,24,1.4746,12.4442,0.0918,0.9836,0.7894,0.3492,0.1284,0.7572,-0.0208,0.0845,0.0562,0.024,-0.0078,0.0392
190121_5_25,300,25,1.3958,6.3803,0.0568,0.4573,0.7928,0.2395,0.0057,-1.1531,0.0201,0.0294,0.0475,0.023,-0.0081,0.0294
190121_5_26,300,26,2.0553,3.31,0.0377,2.5821,0.6119,0.1534,-0.0188,-1.0889,-0.0046,0.2669,0.072,0.0336,-0.009,0.0215
190121_5_27,300,27,1.5053,1.8482,0.0288,0.7528,0.3615,0.1149,0.0352,2.5438,-0.0144,0.0652,0.0725,0.0272,-0.0083,0.0169
190121_5_28,300,28,1.0612,1.2021,0.0193,0.4232,0.155,0.0836,0.0818,1.392,-0.0496,0.0124,0.0562,0.0191,-0.006,0.0133
190121_5_29,300,29,0.8494,-0.1965,0.016,0.2715,0.1462,0.0668,0.0376,0.9525,-0.0627,0.0541,0.052,0.015,-0.0076,0.0142
190121_5_30,300,30,0.7085,0.0333,0.0117,0.1648,0.1098,0.0585,0.0106,0.4434,-0.0422,0.058,0.0472,0.0131,-0.0085,0.012
190121_5_31,300,31,0.6033,-0.8725,0.0103,0.4082,0.1261,0.0516,-0.0409,1.4314,-0.0772,0.0739,0.0569,0.0113,-0.0086,0.0127
190121_5_32,300,32,0.4157,-0.4346,0.0067,0.2409,0.082,0.0426,0.0278,0.8717,-0.0168,0.0433,0.0523,0.0091,-0.0092,0.0117
190121_5_33,300,33,0.376,-1.1871,0.0062,0.2344,0.0764,0.0402,0.0352,0.7401,-0.0729,0.0595,0.0489,0.0082,-0.0091,0.0123
190121_5_34,300,34,0.4027,-0.6044,0.0059,0.6401,0.0454,0.0492,0.0572,3.6721,-0.0382,0.0504,0.0685,0.0098,-0.0088,0.0117
190121_5_35,300,35,0.3473,-0.4612,0.0055,0.7181,0.0636,0.0405,0.0818,3.522,-0.0071,0.0515,0.0706,0.0085,-0.0096,0.0112
190121_5_36,300,36,0.3664,-0.9424,0.0044,1.1442,0.0379,0.0302,0.0376,6.1441,-0.0605,0.0311,0.0914,0.011,-0.0089,0.0115
190121_5_37,300,37,0.1039,-0.4962,0.0031,-0.2254,0.0251,0.0218,-0.0507,-1.136,-0.0298,0.039,0.0309,0.003,-0.0087,0.0107
190121_5_38,300,38,0.0862,-0.5661,0.0019,-0.048,0.0329,0.0187,0.0106,-1.0701,-0.0544,0.0297,0.0328,0.0022,-0.0091,0.0103
190121_6_7,400,7,0.1099,-0.5445,0.003,0.1397,0.0839,0.0203,0.3074,-1.0261,-0.0177,0.0838,0.0412,0.0013,-0.0103,0.0134
190121_6_8,400,8,-0.0193,-0.2331,0.0007,-0.0372,0.0155,-0.0007,-0.0311,0.0744,-0.0108,0.0144,0.0514,0.0003,-0.0088,0.0095
190121_6_9,400,9,0.0381,-0.2181,-0.0001,0.0444,0.0005,-0.0007,0.067,-0.0825,0.0008,0.0018,0.0457,0.001,-0.0094,0.0083
190121_6_10,400,10,-0.0188,0.4512,-0.0005,-0.0072,-0.016,0.0015,-0.036,0.0081,0.0099,-0.0162,0.0479,-0.0001,-0.0089,0.0102
190121_6_11,400,11,0.0839,0.979,-0.0001,-0.0132,0.0163,0.0086,0.1087,-0.2582,0.0334,-0.0271,0.0487,0.0022,-0.0095,0.0093
190121_6_12,400,12,1.8301,12.7889,0.0135,2.1176,0.4815,0.2387,-0.3009,-1.1565,-0.3566,-0.0464,0.1087,0.0371,-0.0104,0.0103
190121_6_13,400,13,5.8931,20.3313,0.0254,4.0704,0.6247,0.2232,-0.0654,-1.1928,-0.3804,-0.0437,0.1512,0.1006,-0.0101,0.0143
190121_6_14,400,14,40.545,-1.7799,0.0314,3.7719,0.0305,0.2852,-0.4652,-0.9243,-0.4852,-0.3447,0.1269,0.6385,-0.0113,0.0103
190121_6_15,400,15,30.8716,-3.0869,0.086,5.5718,-0.0647,0.2642,-0.5363,-1.0966,-0.5298,-0.4095,0.1111,0.4885,-0.0108,0.0056
190121_6_16,400,16,18.1805,-4.2924,0.092,5.0354,-0.0695,0.5097,-0.4824,-0.3574,-0.5596,-0.42,0.0836,0.2913,-0.0105,0.0076
190121_6_17,400,17,15.0843,-4.9584,0.1695,7.3106,0.4479,0.55,-0.4996,-0.4626,-0.4281,-0.207,0.109,0.2408,-0.0095,0.0145
190121_6_18,400,18,8.3962,-4.5155,0.0617,6.9594,0.4286,0.4756,-0.4873,-0.6563,-0.4632,-0.2639,0.1001,0.1373,-0.0104,0.009
190121_6_19,400,19,5.481,-4.4572,0.038,4.7009,0.1932,0.3583,-0.3352,-1.2693,-0.4835,-0.2281,0.0622,0.0931,-0.0106,0.0082
190121_6_20,400,20,4.419,-4.6637,0.039,3.2312,0.2859,0.2595,-0.5069,-0.8076,-0.4194,-0.1296,0.0524,0.0782,-0.01,0.0107
190121_6_21,400,21,2.7992,-3.2334,0.0616,2.7266,0.2742,0.2,-0.4652,-1.1475,-0.4054,-0.1675,0.0393,0.0512,-0.0106,0.0106
190121_6_22,400,22,1.8866,-1.4502,0.084,2.2489,0.4008,0.1634,-0.4358,-0.7935,-0.4005,-0.1574,0.0389,0.0368,-0.0106,0.0697
190121_6_23,400,23,1.5511,1.685,0.071,1.9827,0.4286,0.1318,-0.4456,-0.8418,-0.42,-0.1469,0.0397,0.0326,-0.0114,0.1148
190121_6_24,400,24,0.8475,-1.372,0.0376,1.4199,0.2429,0.0931,-0.5241,-1.1146,-0.4465,-0.2192,0.0264,0.0223,-0.0095,0.0698
190121_6_25,400,25,0.5878,-3.2751,0.0267,1.3588,0.3343,0.1067,-0.5094,-0.8499,-0.4525,-0.2191,0.0352,0.0184,-0.0105,0.0449
190121_6_26,400,26,0.4125,-3.8645,0.0191,0.9962,0.3156,0.0627,-0.5241,-1.2599,-0.4568,-0.2076,0.0312,0.0153,-0.01,0.0308
190121_6_27,400,27,0.2266,-4.4838,0.0135,1.14,0.128,0.0648,-0.5045,-0.8645,-0.4474,-0.2379,0.0293,0.013,-0.0106,0.0217
190121_6_28,400,28,0.2961,-4.9384,0.0087,1.8425,0.1194,0.0462,-0.4284,0.0077,-0.4303,-0.1564,0.0385,0.0146,-0.0066,0.0135
190121_6_29,400,29,0.0171,-5.1299,0.0078,1.5554,0.0318,0.0302,-0.4873,-0.4664,-0.4347,-0.2203,0.0308,0.0099,-0.0085,0.0133
190121_6_30,400,30,-0.0836,-5.3097,0.006,1.3876,0.0518,0.0309,-0.4971,-0.4284,-0.4414,-0.1877,0.0304,0.0078,-0.0101,0.0129
190121_6_31,400,31,-0.2101,-5.4695,0.0047,1.1682,0.0476,0.0432,-0.345,-1.242,-0.4439,-0.2046,0.0216,0.0053,-0.0101,0.0103
190121_6_32,400,32,-0.3154,-5.313,0.0037,0.7216,0.0118,0.0236,7.2243,-0.9342,-0.4368,-0.2322,0.0231,0.0042,-0.0111,0.0105
190121_6_33,400,33,-0.3191,-5.3413,0.0021,0.5161,0.0059,0.0112,-0.4873,-1.1783,-0.4252,-0.2104,0.0198,0.0038,-0.0108,0.0148
190121_6_34,400,34,-0.3865,-5.5495,0.0021,0.4022,-0.0155,0.0137,-0.4579,-0.7708,-0.4354,-0.214,0.0233,0.0033,-0.0105,0.0091
190121_6_35,400,35,-0.4876,-5.6593,0.0012,0.2655,-0.0401,0.0071,-0.529,-0.9752,-0.4423,-0.2151,0.0211,0.0011,-0.0109,0.0081
190121_6_36,400,36,-0.5044,-5.4812,0.0007,0.2583,-0.0414,0.0078,-0.5192,-1.0603,-0.4341,-0.2037,0.0189,0.0009,-0.0113,0.0081
190121_6_37,400,37,-0.5528,-5.5178,0.0004,0.5964,-0.0529,0.0088,-0.4996,-1.1193,-0.4359,-0.2194,0.0174,0.0002,-0.0111,0.0072
190121_6_38,400,38,-0.5505,-5.6677,0,0.3536,-0.046,0.0043,-0.5143,-0.6866,-0.4408,-0.2157,0.0235,0.0002,-0.0113,0.0087
